Dirty Kev and the Boyz,126.46,vs.,126.56,PatnMahomies
Trevor Lawrence,5.66,QB,23.36,Patrick Mahomes
Jonathan Taylor,2.8,RB,14.9,Leonard Fournette
AJ Dillon,8.9,RB,5.4,Darrell Henderson
J.K. Dobbins,20.3,RB,10.9,Rhamondre Stevenson
Jaylen Waddle,4.9,WR,2.5,Terry McLaurin
Chris Olave,14.7,WR,5.7,Brandon Aiyuk
DJ Moore,9.1,WR,15.9,Corey Davis
T.J. Hockenson,35.9,TE,7.2,David Njoku
Jerry Jeudy,13.3,WR/RB/TE,17.8,Marquise Brown
Matt Gay,9.9,K,19.9,Greg Joseph
MIA,1.0,D/ST,3.0,CLE

Munch and McMunchkins,101.06,vs.,132.32,CeeDee’s Nutz
Lamar Jackson,13.06,QB,22.52,Josh Allen
Christian McCaffrey,21.3,RB,0.0,Alvin Kamara
Cordarrelle Patterson,9.8,RB,7.8,Kareem Hunt
James Robinson,1.9,RB,14.8,Breece Hall
Stefon Diggs,8.2,WR,18.7,CeeDee Lamb
DeVonta Smith,3.2,WR,21.9,Tee Higgins
Rashod Bateman,3.2,WR,10.1,Isaiah McKenzie
Kyle Pitts,3.0,TE,13.7,Zach Ertz
Travis Kelce,19.7,WR/RB/TE,2.9,Michael Carter
Evan McPherson,11.7,K,14.9,Daniel Carlson
MIN,6.0,D/ST,5.0,PIT

J E T S NONONO,160.18,vs.,110.34,Aaron’s Drug Adventures
Kyler Murray,21.88,QB,16.14,Aaron Rodgers
Nick Chubb,19.7,RB,7.8,Antonio Gibson
Tyler Allgeier,10.9,RB,0.6,Zack Moss
Jamaal Williams,23.4,RB,1.3,Nyheim Hines
Cooper Kupp,19.2,WR,26.3,Mike Evans
Romeo Doubs,11.2,WR,10.1,Tyler Lockett
Mike Williams,15.5,WR,13.7,Courtland Sutton
Hayden Hurst,10.2,TE,5.5,Dawson Knox
Robert Tonyan,9.2,WR/RB/TE,3.4,Russell Gage
Brandon McManus,5.0,K,9.5,Cade York
PHI,14.0,D/ST,16.0,NYG

Inferno F.C.,123.46,vs.,195.0,Juju and Jujuju
Justin Fields,10.16,QB,21.1,Justin Herbert
Najee Harris,7.4,RB,30.9,Austin Ekeler
Joe Mixon,15.4,RB,32.0,Josh Jacobs
Rashaad Penny,28.2,RB,9.0,Chase Edmonds
DK Metcalf,18.4,WR,26.0,Justin Jefferson
Drake London,2.7,WR,20.9,Tyreek Hill
Brandin Cooks,15.2,WR,7.6,Noah Brown
Dallas Goedert,9.7,TE,8.1,Taysom Hill
Curtis Samuel,5.8,WR/RB/TE,7.1,JuJu Smith-Schuster
Ryan Succop,8.5,K,11.3,Justin Tucker
DEN,2.0,D/ST,21.0,SF

klabs_smelly_dookey,117.56,vs.,95.38,bformell
Jalen Hurts,14.96,QB,26.98,Russell Wilson
Dalvin Cook,9.6,RB,22.2,Derrick Henry
Aaron Jones,13.0,RB,9.2,James Conner
Ezekiel Elliott,9.1,RB,9.1,Raheem Mostert
Michael Pittman,4.6,WR,1.4,Amari Cooper
Diontae Johnson,3.2,WR,1.7,Allen Robinson
Deebo Samuel,20.7,WR,7.8,Marquez Valdes-Scantling
Pat Freiermuth,12.0,TE,2.5,Mark Andrews
Khalil Herbert,10.6,WR/RB/TE,0.0,Marvin Jones
Brett Maher,16.8,K,12.5,Younghoe Koo
IND,3.0,D/ST,2.0,LAR

The Hardly Know 'Ers,95.38,vs.,112.96,Los Angeles Rams
Joe Burrow,20.08,QB,2.86,Marcus Mariota
Javonte Williams,3.2,RB,17.2,Saquon Barkley
Travis Etienne,3.2,RB,13.4,Jeff Wilson
Dameon Pierce,22.9,RB,28.6,Miles Sanders
Ja'Marr Chase,10.1,WR,5.1,Garrett Wilson
A.J. Brown,12.0,WR,1.8,Gabe Davis
Rondale Moore,2.2,WR,7.3,Christian Kirk
Dalton Schultz,0.0,TE,3.9,Darren Waller
Chase Claypool,0.0,WR/RB/TE,15.0,Davante Adams
Dustin Hopkins,10.7,K,10.8,Jason Sanders
DAL,11.0,D/ST,7.0,CHI

