02/13/2024
Ben L, Zamir White, Mayank, 2024 Round 3 (Chris), 
, Josh Downs, , 2024 Round 1 (Liam), 
, 2024 Round 1 (Alex W), , , 
, 2024 Round 4 (Mayank), , , 

07/17/2024
Alex R, Derrick Henry, Ben F, 2024 Round 1 (Alex R), 
, 2024 Round 4 (Ben F), , , 

07/17/2024
Liam, 2024 Round 1 (Dave), Dave, 2024 Round 1 (Chris), 
, , , 2024 Round 3 (Liam), 

07/17/2024
Mayank, 2024 Round 1 (Chris), Dave, 2024 Round 2 (Ben L), 
, 2024 Round 3 (Liam), , 2024 Round 2 (Alex R), 

07/17/2024
Liam, Dameon Pierce, Walker, 2024 Round 2 (Liam), 
, 2024 Round 2 (Walker), , , 

07/17/2024
Alex W, David Montgomery, Chris, Terry McLaurin, 
, 2024 Round 2 (Chris), , 2024 Round 3 (Alex W), 

07/18/2024
Kevin, Jerome Ford, Chris, 2026 Round 3 (Kevin), 
, , , 2024 Round 3 (Mayank), 

07/18/2024
Mayank, 2024 Round 3 (Kevin), Kevin, 2024 Round 3 (Chris), 
, , , $10, 

10/03/2024
Kevin, Terry McLaurin, Chris, Jaylen Waddle, 
, Kyle Pitts, , 2025 Round 3 (Kevin), 

10/09/2024
Chris, 11592, Ben L, Darnell Washington, 
, Kareem Hunt, , 2025 Round 2 (Chris), 
, 2026 Round 4 (Ben L), , , 

10/12/2024
Alex R, Justice Hill, Kevin, Trey Sermon, 

10/15/2024
Walker, Nick Chubb, Ben L, Travis Etienne, 
, 2025 Round 3 (Ben L), , , 

10/19/2024
Alex W, Derrick Henry, Alex R, 2025 Round 1 (Alex W), 
, Justice Hill, , 2025 Round 2 (Alex W), 

10/23/2024
Mayank, James Conner, Ben F, Jauan Jennings, 
, 2025 Round 4 (Ben F), , 2026 Round 2 (Mayank), 

10/29/2024
Dave, Rashee Rice, Walker, Keenan Allen, 
, 2025 Round 2 (Walker), , Brian Robinson, 
, , , 2025 Round 3 (Dave), 

10/31/2024
Mayank, Josh Downs, Ben L, 2026 Round 1 (Mayank), 
, 2025 Round 4 (Ben L), , , 

11/20/2024
Walker, DEN, Thomas, IND, 
, 2025 Round 4 (Thomas), , 2025 Round 3 (Walker), 

11/24/2024
Chris, IND, Thomas, WAS, 
, , , 2025 Round 5 (Chris), 

11/27/2024
Ben F, Andrei Iosivas, Chris, Luke Musgrave, 
, 2025 Round 3 (Kevin), , 2025 Round 2 (Ben F), 
, 2025 Round 3 (Chris), , , 

11/28/2024
Liam, Michael Wilson, Walker, Courtland Sutton, 
, 2025 Round 3 (Ben L), , , 

12/05/2024
Chris, Aaron Jones, Mikey, 2025 Round 1 (Chris), 
, 2025 Round 2 (Mikey), , , 
