
07/17/2025
Kevin, Keenan Allen, Walker, 2025 Round 1 (Kevin), 
, 2025 Round 1 (Walker), , , 

07/17/2025
Alex R, DeVonta Smith, Chris, 2025 Round 1 (Alex W), 
, 2025 Round 5 (Kevin), , 2026 Round 3 (Alex R), 

07/18/2025
Chris, 2025 Round 2 (Dave), Dave, 2025 Round 2 (Ben F), 
, 2025 Round 4 (Liam), , , 

07/18/2025
Alex R, Sam Darnold, Mayank, 2025 Round 2 (Alex R), 
, 2025 Round 3 (Mayank), , , 

07/18/2025
Alex R, 2026 Round 3 (Alex R), Chris, 2027 Round 3 (Alex R), 
, , , $1, 

07/18/2025
Liam, 2025 Round 2 (Mayank), Mayank, 2025 Round 3 (Liam), 
, , , 2025 Round 5 (Liam), 

07/19/2025
Alex R, David Njoku, Alex W, 2025 Round 3 (Alex R), 
, , , 2026 Round 3 (Alex R), 

07/19/2025
Thomas, 2025 Round 4 (Ben L), Mayank, 2025 Round 3 (Walker), 
, 2025 Round 5 (Liam), , , 

07/20/2025
Mayank, 2025 Round 5 (Dave), Dave, 2026 Round 5 (Mayank), 
, , , $10, 
